"","V1"
"9154","Good ,clean ,and reasonable room size.  Worth for money wise.  Good helping and responsible staff.  Will  Recommands to freinds and family."
"9155","Good Location by the beach, lots of sunbeds good choice of food and restaurants "
"9156","Good Location by the beach, lots of sunbeds good choice of food and restaurants "
"9157","I love this hotel what a find. Close to the JR station sudobashi which leads to everywhere else! What a great hotel, I would stay here again next time. The Japanese settings of the room was amazing and made me feel like I was truly in Japan, staff were friendly. overall A    "
"9158","I love this hotel what a find. Close to the JR station sudobashi which leads to everywhere else! What a great hotel, I would stay here again next time. The Japanese settings of the room was amazing and made me feel like I was truly in Japan, staff were friendly. overall A    "
"9159","Great staff who spoke excellent English and where very helpful"
"9160","The smallest room I've ever stayed, we had to take turns in getting ready in the morning! "
"9161","Great staff who spoke excellent English and where very helpful"
"9162","The smallest room I've ever stayed, we had to take turns in getting ready in the morning! "
"9163","to pay for wifi  this is nasty nowsadays. wifi has better to be free. what's to pay!. "
"9164","to pay for wifi  this is nasty nowsadays. wifi has better to be free. what's to pay!. "
"9165","Everything was amazing,I had jacuzzi,there was a small mini kitchen in the rom,with everything you need.The receptionist speak 5languages and are very helpful,ask them a question and they know the answer.  2swimming pools,one with amazing relaxing music,one with the view on Binibeca village and the little port.  Good suggestion-try their food -buffet,you may find its better than the local restaurants,and better value for money too.  What else do you need or want? Me and my bf just loved it and will be back asap. It is the best place to stay and visit around in whole Menorca."
"9166","Room had an old smell-BUT it disappeares as soon as you open the window,plus in the evening there was a beautiful smell of some kind of flower,coming into my balcony and room :)  "
"9167","Everything was amazing,I had jacuzzi,there was a small mini kitchen in the rom,with everything you need.The receptionist speak 5languages and are very helpful,ask them a question and they know the answer.  2swimming pools,one with amazing relaxing music,one with the view on Binibeca village and the little port.  Good suggestion-try their food -buffet,you may find its better than the local restaurants,and better value for money too.  What else do you need or want? Me and my bf just loved it and will be back asap. It is the best place to stay and visit around in whole Menorca."
"9168","Room had an old smell-BUT it disappeares as soon as you open the window,plus in the evening there was a beautiful smell of some kind of flower,coming into my balcony and room :)  "
"9169","This all inclusive hotel is defenitly value for the money. Two pools, friendly staff, nice food (there's something for everyone) with lots of local specialities  and just across the street to the beach. They also produces their own electricity and 85% of vegetables served! So don't hesitate! Book it!"
